Q23008452	Ronja von Rönne
Q1510033	Gerald Weiß
Q658611	Joe Kennaway
Q947897	Sándor Torghelle
Q527553	George Allen
Q714590	Artur Levi
Q2961975	business executive
Q320860	Klaus Wunder
Q9611737	Américo Militão de Freitas Guimarães
Q29472736	Sikkens Prize
Q29282	Archbishop of Canterbury
Q19845	Geri Halliwell
Q3418251	Ralph Forbes
Q692035	Arndt Bode
Q1522246	Steffen Kampeter
Q2711776	Nikita Petrovich Panin
Q15433815	Dagmar Schmidt
Q590048	Graziano Battistini
Q5085152	Charlie Livesey
Q3510173	Václav Klofáč
Q109357	Käthe Braun
Q6700137	Luigi Sepe
Q1039929	Carl Owen Dunbar
Q887279	James Ole Davidson
Q3853120	Maximiliano Faotto
Q7814868	Tom Barlow
Q605443	Menachem Porush
Q5273224	Dick Neal, Jr.
Q1035180	Captivity
Q2413261	Jean Kovalevsky
Q472510	Ernst Alexanderson
Q171669	One Flew Over the Cuckoo's Nest
Q2052017	Valeri Urin
Q915665	MTV Video Music Award for Best Direction
Q7804537	Tim Zinnemann
Q471556	Franco Costanzo
Q331401	Rex Tillerson
Q22017444	Fred Collinson
Q510916	Thomas Joannes Stieltjes
Q56877289	Karine Ohanyan
Q1688490	Jeter Connelly Pritchard
Q96287	Wilhelm von Gümbel
Q2034158	Martin Conway, 1st Baron Conway of Allington
Q64007965	Hurricane Michael
Q2618737	Toti Soler
Q269357	Joseph Losey
Q3770470	Giuseppe Di Prisco
Q6048650	Octavio Granado
Q24509860	Justin Mottier
Q5195843	Curtis Obeng
Q18691872	AEK Ammochostos
Q12163509	Alexander Udovichenko
Q55617913	Sarah Jaffe
Q39420	Sochi
Q20217619	Abraham Hoffman
Q3120611	Aguinaldo Roberto Gallon
Q2608210	Paracuellos massacres
Q755519	2003–04 Serie A
Q3081694	Francis Sparks
Q181727	William Gannaway Brownlow
Q526247	Jeff Cheeger
Q5561462	Karl Asplund
Q958810	Route nationale 88
Q38302	Wolf Albach-Retty
Q1196	Mecklenburg-Vorpommern
Q133318	Marat Safin
Q1690197	Joachim Hubertus Nowack
Q2976312	1992 Dow Classic
Q1105145	János Kass
Q3939082	Roberto Ranzani
Q201905	Constantius III
Q526202	Anastasios Giannitsis
Q560756	Willem Marinus Dudok
Q5273131	Dick Leafe
Q2509988	Armen Shahgeldyan
Q966764	Holger Drachmann
Q241419	Pierre Vaultier
Q28854990	Honorary doctor of the Humboldt University of Berlin
Q103523	Michael Meister
Q4932795	Bob Hill
Q680180	Rod Wallace
Q353451	Mikhail Leonidovich Gromov
Q92819	Edmund M. Clarke
Q4241823	Oleg Krokhin
Q7412732	Samuel T. Busey
Q6712373	Afzal Khan
Q1781916	Nils Langhelle
Q5386720	Eric Herrera
Q15092085	Lääne-Nigula Rural Municipality
Q1384866	E. C. George Sudarshan
Q96730	Hans Krieger
Q4819060	Aubone Surtees
Q1974658	Václav Bělohradský
Q926167	Tom Kibble
Q187312	Robert I of Scotland
Q773755	Prix Tour-Apollo Award
Q75847	Harald zur Hausen
Q60106	Guntis Ulmanis
Q728960	Order of the October Revolution
Q1050982	Catherine Hiegel
Q150872	Empress Matilda
Q106497	Hüseyin Kenan Aydın
Q3385274	Pierre Gosnat
Q605987	Rick Wamsley
Q2907055	Zvi Shiloah
Q6256720	John Saunders
Q4857745	Bapu
Q584451	Bethesda
Q551473	Thomas Quasthoff
Q133026	Kolomna
Q55955	Carl Lindhagen
Q3313600	Mike Zagurski
Q2547146	Walther Fischer
Q987930	Jonathan Bachini
Q65180	Walther von Dyck
Q2185299	Jan Arend Godert de Vos van Steenwijk
Q171421	Henry Morton Stanley
Q1088949	Unknown Chaplin
Q301493	Ahmed Arifi Pasha
Q6774492	Martha McSally
Q4422768	Vladimir Skurikhin
Q21781576	View through a door to running figures
Q1909268	Matt Salmon
Q19660548	Venice, Bacino di San Marco on Ascension Day
Q187840	Palais Garnier
Q977974	Pierre Joxe
Q111978	Helene Engelmann
Q11985034	Jacques de Fouchier
Q319693	Oscar Hammerstein II
Q357839	Walter M. Miller
Q20684288	Jim Justice
Q450030	Christiane Kubrick
Q434509	Esther Duflo
Q3845497	Marcella Di Folco
Q288876	Carl Voss
Q216117	Berg
Q1709894	journalism prize
Q5737558	Christian Forssell
Q612244	Yury Chaika
Q7507945	Sid Webb
Q554409	Barry E. Wilmore
Q7106014	Oscar Guest
Q349585	Radomir Antić
Q205353	James M. Buchanan
Q47434	Edmund Halley
Q513640	Susanna Alakoski
Q1290607	Eduard von Heuss
Q21993349	Roompot-Oranje Peloton 2016
Q467423	Robin Thicke
Q17011060	Teen Choice Award for Best Villain
Q2199553	Laurits Andersen Ring
Q178943	Little Boots
Q665957	Jacques Laffitte
Q158123	Franz Vranitzky
Q702306	Sammy Lee
Q13530067	John Wells
Q1290430	Joachim Schöne
Q4910716	Bill Routledge
Q6250354	John Newland
Q221546	Jason Newsted
Q3211865	Yuli Turovsky
Q2865195	Arthur Landsborough Thomson
Q39070769	2017 World Grand Prix
Q490511	Ander Crenshaw
Q167133	Tony Woodcock
Q20750872	2015 Vuelta a Colombia
Q1221851	Dieter Dzewas
Q103114	Michel Houellebecq
Q56706948	Hubert van Eck
Q483203	Sting
Q1316778	Gero Pfennig
Q4013394	Vincenzo Matrone
Q530942	Else Roesdahl
Q323940	Robert Gliński
Q4185511	Mykola Zaludyak
Q11918824	Elena Ribera i Garijo
Q1514878	Gerry Hambling
Q554933	Juan José Flores
Q8701	Atlético Madrid
Q4280121	Jackie McGrory
Q2153352	My American Uncle
Q528684	Bruno Abbatini
Q59098140	Foliage frieze
Q1687170	Jens Christian Skou
Q64706443	Tropical Storm Felicia
Q2878013	Federico Trillo
Q359665	David Walliams
Q1960	Dar es Salaam
Q376834	Silver Bear for Best Actress
Q3225316	Luke Messer
Q1355698	Joseph Marie, baron de Gérando
Q6122812	Sebastián Alabanda
Q10384678	Lee Mills
Q492484	Ricardo
Q516880	Febian Brandy
Q16787460	Officer of the Order of Leopold II
Q38080384	Henry Cézanne
Q2750857	Luis Martinez Noval
Q13091115	Robert Poirier de Narçay
Q165349	Frederick, Prince of Wales
Q384568	Francisco Moreno
Q1365850	Paul Telfer
Q16509294	Richard Rees
Q727361	Richard Baker
Q2829673	Alain Claeys
Q429348	Jimmie Davis
Q784386	Katalin Berek
Q5575914	Knut Gillis Bildt
Q543049	Régis Ovion
Q2329115	Juan Antonio Señor
Q1407530	Alessandro Bernardini
Q1238599	Jean Baptiste Lefebvre de Villebrune
Q544947	Anne McIntosh
Q2605633	Matija Ban
Q92756	Johan Håstad
Q53381	Tolmezzo
Q2255167	Luciano Zavagno
Q228862	Lena Olin
Q2570667	Wilderich Freiherr Ostman von der Leye
Q560706	Jean Stas
Q4539548	Igor Yasulovich
Q526499	Slick Watts
Q131529	Hans Krankl
Q4322482	Andrei Novgorodov
Q3763211	Gianluca De Angelis
Q42407091	SMWCon Fall 2014
Q1222013	Dieter Grasedieck
Q266468	Thomas Ashton, 1st Baron Ashton of Hyde
Q1597425	Heinrich Grütering
Q5231806	David Brown
Q238004	Cecily Neville, Duchess of York
Q331748	Tommy Lee
Q1031927	Brent Maddock
Q3641406	Bobby McKean
Q4749729	An Adventure in Space and Time
Q10423838	Ernie Whittam
Q27978402	Unsubmissive France
Q63316783	Renal Denervation in Hypertension
Q1292127	Philip Bosco
Q7966224	Walter Styles
Q2715932	Jonathan Buatu Mananga
Q4718893	Alexander Fraser
Q3615378	Leader of the Labour Party
Q970408	Samuel Benchetrit
Q41805995	honorary doctor of the Durham University
Q3181717	John Hays Hammond
Q795194	B. Clark Burchfiel
Q1056853	In the Mood for Love
Q10293011	Dudu
Q1610824	Hermann Büsing
Q3725493	Ennio Pellegrini
Q30572	Friedrich Mohs
Q4913269	Billy Russell
Q1292269	Edward Augustus Freeman
Q15833880	Maria Knilli
Q286448	Kenny Sansom
Q554627	German submarine U-181
Q17456486	Liya Gluskina
Q3663042	Karin Elharar
Q505376	Davide Fontolan
Q1388783	Michael Theoklitos
Q16213403	Ronnie McQuilter
Q1343807	Henry Stommel
Q11729549	Jurij Kluczkowski
Q1201460	Detlev Wannagat
Q1711648	Prix Jules Janssen
Q7529770	Sir William Scott, 6th Baronet
Q350602	Adam Ingram
Q3174641	Jean-Simon Berthélemy
Q16710572	The Church of the Dormition of the Mother of God
Q2229763	FC 105 Libreville
Q6036192	Mónica Jouvet
Q312170	Alain Giresse
Q2081635	Dennis Tueart
Q1730853	Karl Elgas
Q10445097	Uwe Dreher
Q13418138	Honored art worker of the Russian Soviet Federative Socialist Republic
Q1967731	National Society of Film Critics Award for Best Actor
Q15995293	Nick McKeown
Q8002690	Will Bailey
Q15297980	2014 German Masters
Q386816	Gaston III, Count of Foix
Q862621	Bill Tilman
Q4304099	Moscow State Forest University
Q457229	Franchot Tone
Q13099543	Katharina Nocun
Q975630	Minoru Chiaki
Q1742901	Nils Politt
Q3377781	Hedworth Meux
Q2642019	Alexander Elbrächter
Q1223534	Dietmar Schlee
Q2641	S.S.C. Napoli
Q3337640	Nebojša Zlatarić
Q3573263	Yurii Nesterov
Q7435483	Scot Symon
Q4348130	Alexander Peklushenko
Q48502	Marika Rökk
Q26212307	José Ignacio Escobar y Kirkpatrick
Q445211	Princess Eleonore Erdmuthe of Saxe-Eisenach
Q20432124	Constantin Costescu
Q20127	Wilhelm Liebknecht
Q90494	Anton von Störck
Q275270	Tricia O'Neil
Q761544	Carl Pomerance
Q7325730	Richard Forsyth
Q1614686	Luigi Ciarlantini
Q166317	Paulo Dybala
Q123670	Jean-André Deluc
Q17315571	Typhoon Neoguri
Q4864756	Barry Smith
Q3428888	Reynald Seznec
Q56276309	Siege of Almería
Q1047508	Our Lady Peace
Q232348	Cat Power
Q103835	Peter Debye
Q3816302	Harry Lowe
Q298997	Levi P. Morton
Q4415502	Volodymyr Semynozhenko
Q1806213	Francesc Macià i Llussà
Q71363	Rudolf Amelunxen
Q5334	Saratov Oblast
Q1321198	Hermann Schmidt
Q7599711	Stanley Johnson
Q5140449	Cody McDonald
Q644478	NUI Galway
Q1530172	Émile Loubon
Q732104	1980 AFC Asian Cup
Q3072554	Mirko Barbagli
Q2934352	Calogero Mannino
Q717365	Hirak Rajar Deshe
Q50001	Italians
Q2847578	André Damien
Q4776021	Anton Strle
Q1608068	Louise Lorraine
Q2063330	Paul de Rémusat
Q502615	Mühldorf
Q17427695	Ivan Nagorny
Q1613022	Hermann Weigel
Q3642620	Boris Pozdnyakov
Q181533	Bosnian War
Q15833515	Manfred Döpfner
Q535831	Vladimir Dezhurov
Q3703591	Davide Olivares
Q7708211	Texas Women's Hall of Fame
Q105605	Jules Hoffmann
Q41257	Heinrich Rudolf Hertz
Q7635852	Suki Kim
Q49086	Simon Wiesenthal
Q447579	Krzysztof Lisek
Q4109542	Mikołaj Kurowski
Q185587	Fabrice Begeorgi
Q556140	Ian Hodder
Q12070269	Kabir Suman
Q3023287	Pieter Cornelis Dommersen
Q86374	Andreas von Ettingshausen
Q334327	Eric Varley
Q15734257	Hetty Broedelet-Henkes
Q10313	San Sebastián
Q11851928	Antero Vartia
Q4013395	Vincenzo Mattina
Q55493747	Álex Ramos
Q29297	Carl Ritter
Q767435	Jean Clair
Q290554	Thérèse Coffey
Q41254	Grammy Award
Q946257	John Merivale
Q3770519	Giuseppe Farina
Q3514819	Tamika Mkandawire
Q4707656	Alan Rogers
Q13529958	Henry Kerby
Q5343985	Edward L. Ayers
Q563342	Lord Edward Somerset
Q1628464	Horng-Tzer Yau
Q5686472	Haydn Price
Q7384294	Ryan McCann
Q64095164	Tropical depression Fifteen
Q1997503	Yuri Pudyshev
Q2853742	Antoine-Frédéric Brunet
Q1701350	John Patrick Williams
Q55744	Vijay Tendulkar
Q95002	William Holden
Q433979	Philippe Garrel
Q2640499	Vladimir Martynov
Q638085	The Bells of St. Mary's
Q722555	Charles Simic
Q2626318	Governor of South Dakota
Q1088813	Giacomo Luigi Ciamician
Q7175395	Peter Leahy
Q57082824	Category:Honorary doctorates from University of Toronto
Q1276990	Earl B. Ruth
Q181376	Grodno
Q64018527	Hurricane Cindy
Q16023869	Adam Armstrong
Q21596	Volksberg
Q1967770	2012 Copenhagen Badminton Masters
Q464583	Yayuk Basuki
Q1545826	Ace in the Hole
Q362442	Arthur William Radford
Q536371	Tommy Tabermann
Q277533	Pablo Hernández Domínguez
Q296313	Kim Philby
Q6099046	Ivo Banella
Q60509971	Yemyalyan Azaranka
Q113324	Jörn Schwinkendorf
Q16229905	Joe Bunney
Q42404082	2018 Boels Ladies Tour
Q7176791	Peter Sayer
Q5081660	Charles Pierrepont, 4th Earl Manvers
Q968708	Göran Tunström
Q5466	Chuvash Republic
Q159976	Joseph Joachim
Q1353703	Luiz Carlos Ferreira
Q324355	Dieter Freise
Q2603354	Zee Cine Award for Best Actor in a Supporting Role – Male
Q4896722	Best Major League Baseball Player ESPY Award
Q3504591	Irena Belohorská
Q3713727	Donato Abbatángelo
Q3609304	Aldo Riva
Q1361949	Kip Niven
Q534544	Angelika Pfeiffer
Q30339344	Sébastien Leclerc
Q6018302	Mirta Núñez
Q2008444	Alexey Lyapunov
Q25410824	Mendel Elefant
Q7330071	Richard Wood, Baron Holderness
Q2899694	Bertrand Vili
Q203453	Westdeutscher Rundfunk
Q108879	Hans Georg Rupp
Q11973343	Gunnerus Medal
Q16727724	Gail Buckley
Q207658	Brian Clough
Q546082	Joseph, Duke of Parma
Q533102	Brent Berlin
Q59097317	Three designs for the decoration of wall panels in Louis XVI style
Q193768	Sulley Muntari
Q5866463	Francisco Labadie Otermin
Q23989188	Elsa Flensburg
Q18161272	Tommy MacVinish
Q3659677	Carlo Osellame
Q2947863	2005 Challenge Bell
Q15042145	Grand Cross of the Order of the Oak Crown
Q3804707	Ivan Gregori
Q6162825	Jason Kander
Q21770861	Movistar 2016
Q17308277	Diego Gaston  Romancikas
Q3889699	Elliott Roosevelt
Q7971822	Washington D.C. Area Film Critics Association Award for Best Supporting Actress
Q3839593	Luigi Dipasquale
Q4716438	Alessandro Turchetta
Q1691492	Joe Klein
Q192885	Vissarion Belinsky
Q2241666	Pieter Boel
Q3882083	Omar Labruna
Q1808301	Laureus World Sports Award for Sportsman of the Year
Q1282685	Eddie Baily
Q352330	Don Roper
Q1560579	Günter Herterich
Q3655979	Johan Peter Koch
Q7441428	Sean Sheehy
Q663005	Nansen Refugee Award
Q2856777	Antoine Vacher
Q5228960	Dave Hilley
Q5947168	Juan Andrés Ramírez Chain
Q785771	Karl Hawley
Q1927524	Michael Geiger
Q152888	Fay Bainter
Q55294	Kenneth Branagh
Q2770	Tula
Q21455	Rothau
Q68359	Patriarch Athenagoras I of Constantinople
Q1235443	Pierre Moinot
Q45433	British Council
Q467025	Pontifical Gregorian University
Q1560738	Günter Lach
Q13427925	Abdoulaye Doucouré
Q494660	Selim I
Q3762201	Giacomo Narizzano
Q15438360	Marianne Lederer
Q15971745	Pierre Jolibois
Q28869851	Marie Dormoy
Q26943762	prince of Kiev
Q936106	Eddington Medal
Q12940	Jacques Chaban-Delmas
Q383591	Edwin Linkomies
Q179269	Katherine Helmond
Q15119	Province of Rome
Q1090694	Jim Abbott
Q778104	Marco Branca
Q2257593	Simone Dallamano
Q2847588	André Dautheribes
Q1706397	Joseph Abraham Zilber
Q1258043	Johannes Hauser
Q7819975	Tommy Walker
Q72365	Oskar Pastior
Q64706578	Hurricane Fernanda
Q524772	Paul Joseph James Martin
Q1581382	Hans Mohr
Q163700	Legion of Honour
Q1955147	Brian d'Arcy James
Q465568	Béla Fogarasi
Q361207	Jaroslav Šilhavý
Q50368456	Édouard Ignace Andlauer
Q702870	Nando Rafael
Q79141	Ernst Florian Winter
Q1353839	Erik Blumenfeld
Q6390682	Kenneth Setton
Q6845041	Mihai Bălașa
Q1217794	Nicky Ajose
Q59826490	Transport d´une voiture démontée
Q723830	Golden Globe Award for Best Supporting Actor – Motion Picture
Q3436244	Robert Savary
Q1899940	Mark Atkins
Q5246473	Dean Smith
Q884367	William W. Ellsworth
Q7819418	Tommy Fowler
Q64027158	Hurricane Harvey
Q8201035	Antoni Bassas
Q3085168	François Lesein
Q469818	Udit Narayan
Q284500	Turner Prize
Q7182485	Phil Tingay
Q11684945	Joan Josep Folchi i Bonafonte
Q182727	The Crying Game
Q245160	Democratic Republic of Georgia
Q6775685	Martin Hinshelwood
Q316313	Lyon Sprague de Camp
Q705387	Enigma
Q103864	Klaus Heinrich
Q354779	Jacob Epstein
Q691381	Louis Antoine de Noailles
Q10405755	Jimmy McAlinden
Q11993457	Real Academia Española
Q57154853	Vera Kosova
Q830553	Dangerous Liaisons
Q180918	Paphos
Q167076	William Keswick
Q5220817	Danny Shea
Q795913	2010 BGL Luxembourg Open
Q215406	Friedrich Kapp
Q974099	Eros Pisano
Q714511	Alan McDonald
Q1770340	Pablo Andrés González
Q21482267	Ernst August Abel
Q245073	2011 Wimbledon Championships
Q4234593	Viktor Korshunov
Q1277998	Vladan Batić
Q460124	Jacques Callot
Q262177	Colin Pascoe
Q706248	William W. Belknap
Q169121	Zdeňka Baldová
Q153516	Nuenen
Q555240	Shane Warne
Q1744731	Klaus-Dieter Gröhler
Q3876578	Nicolò Nicolosi
Q6262918	John Walter Huddleston
Q3874484	Nello Orlandi
Q5083352	Charles Wardle
Q1360993	Tom Cochrane
Q371647	Craig King
Q4369472	Pyotr Pokryshev
Q6999245	Diego Laxalt
Q12335214	Sigfride Bille
Q531671	Matteo Gentili
Q64706575	Tropical Storm Calvin
Q64504474	Hurricane Iva
Q2512714	Marcel Theroux
Q539363	Fyodor Alekseyev
Q313152	William Boyce
Q953338	Steve Novak
Q434786	Arnaldo Forlani
Q122318	Paul Bernays
Q6501749	general secretary
Q75913	Walther Penck
Q21665450	A group including a man, a woman and five children
Q4710436	Albert Hawke
Q919825	Nelinho
Q124179	Kiss
Q453822	Suzanne Flon
Q1990293	Luiz Ribeiro Pinto Neto
Q1940640	Paul Heymans
Q1388459	H. V. Evatt
Q167141	Laon
Q109550	Dieter Salomon
Q5539954	George Grube
Q1359138	Ernst Küchler
Q2750748	Rurouni Kenshin
Q3852180	Matteo Pivotto
Q5257161	Denis Clarke
Q59097893	Design for a rood loft and a portal
Q724723	Bryan Hodge
Q1577440	Hans-Joachim Otto
Q830978	László Kalmár
Q1282339	Alfred Rébelliau
Q5981866	Ian Hutchinson
Q776783	The Common Man
Q250609	Hans Küppers
Q7002114	Dionigio Borsari
Q1442423	Gabriel Jean Edmond Séailles
Q7287669	Ralph Hunt
Q956042	Knud Romer
Q69586	Edith Clever
Q5541575	George Lawrence
Q1040591	Miriam Blasco
Q3183230	Jon Robin Baitz
Q11928512	Josep Cañellas Fons
Q9160500	Arturzinho
Q816502	Ben Gibbard
Q1506244	Georg Ulrich Handke
Q275633	Margaret Mahy
Q1208406	Jules Léger
Q3894427	Paolo Rosi
Q243118	Chilperic I
Q234683	Virginie Ledoyen
Q7344973	Robert Grimston, 1st Baron Grimston of Westbury
Q5365528	Elliot Meyerowitz
Q3605548	Adoration of the Shepherds
Q1464697	Richard Neal
Q533486	Herbert Neumann
Q6259	Pavia
Q7323773	Richard Arkwright
Q12022908	Jan Novák
Q20876601	Meritxell Roigé i Pedrola
Q18624259	private limited liability company
Q236993	Lucía Etxebarría
Q152019	Laura Bush
Q1255421	Tschen La Ling
Q369195	Sam Mercer
Q8015	Artur Mas
Q93604	Lotte Lenya
Q91901	Ernst Fabricius
Q1723836	Robert Hirsch
Q6789421	Matt Tees
Q440710	Antonio Tajani
Q463803	Marie-Hortense Fiquet
Q3310322	Michel Maurice-Bokanowski
Q5258139	Dennis Allen
Q30326179	2017 WTA Elite Trophy
Q2720648	James E. Sullivan Award
Q453187	Marie-Gabrielle Capet
Q60568	William V, Duke of Bavaria
Q60723	Wilhelm Mohnke
Q478832	Laura Sandys
Q3846206	Marco Landucci
Q231962	Alona Bondarenko
Q1736638	Katja Keul
Q20630657	Davide Cais
Q713883	Mohammed Abu
Q6133505	James Erskine Wemyss
Q879106	Robert J. Walker
Q95758	Jens Geier
Q8018968	William Summer Johnson
Q552053	Paul von Jankó
Q3174936	Jean Vallery-Radot
Q983694	Ernesto Vidal
Q5372925	Emma Plewa
Q983641	Claes Andersson
Q30729466	Michel Verret
Q3159866	Jacques Revel
Q207719	Martin Evans
Q6260441	Jack Tennant
Q54946027	Judith Pollmann
Q121382	Daniel Loss
Q62163	She Done Him Wrong
Q2716613	Ferdinand Alquié
Q1165970	Dario Venitucci
Q14159615	Irma Brunner
Q533214	Fred R. Harris
Q321321	Mariano Andújar
Q214317	Jean Nouvel
Q3756680	Gabriele Scandurra
Q88700	Bringfried Müller
Q7417373	Sandy McLaren
Q749899	Tupac: Resurrection
Q334603	Mark Oaten
Q3048044	Edmondo Della Valle
Q4316490	Karl Neitzel
Q463653	Marie-Thérèse Walter
Q7528778	Sir Robert Gore-Booth, 4th Baronet
Q1387868	Kurt Schrader
Q1175918	David Nish
Q4773176	Anthony Nelson
Q78116	Friedrich Dessauer
Q64213784	Hurricane Norma
Q1032587	Ernest Maragall
Q71322	Friedrich Julius Stahl
Q1930973	Michel Vovelle
Q5241550	Davide Colomba
Q21952	Morville-lès-Vic
Q76508	Emmanuel Philibert
Q1133777	Cornelius Krieghoff
Q1185830	Democrats
Q963530	University of Stirling
Q2641937	Alexander Conrad
Q2543346	Walter-Hasenclever-Literaturpreis
Q1930706	Michel Décaudin
Q4013448	Vincenzo Pandullo
Q60639343	Étienne Énault
Q1072029	University of Wales
Q723607	James Waddell Alexander II
Q1444160	Frank Schwabe
Q125548	Willi Meinck
Q3169367	Jean-Pierre Granger
Q2760849	Deepakbhai P. Mehta
Q3128047	Harvey Stephens
Q1010496	Lihula Rural Municipality
Q2580632	William Stafford
Q3476723	Sean Ellis
Q22305	Oberstinzel
Q8488	1992 Summer Olympics
Q207307	Robert Carlyle
Q64008386	Tropical depression Ten
Q11929269	Juan Carlos Castilla Zenobi
Q3876517	Nicolás Laprovíttola
Q1908666	Mattheus Brill
Q7177679	Peter Whiston
Q5210350	Dale Banton
Q10513894	Jimmy Cowen
Q2807957	William L. McMillan
Q951382	María Luz Morales
Q3607690	Alan Combe
Q59873115	Aguatero
Q2926807	Bruno Germain
Q4025172	Ángel Capuano
Q1678828	Robert Hale
Q1968	Formula One
Q967487	John B. Taylor
Q258661	Ethel Skakel Kennedy
Q3177561	Maxime Laubeuf
Q4128441	Ioannis Vouros
Q3734017	Ettore Trevisan
Q92697	Yiannis N. Moschovakis
Q594906	Stephen Mallory
Q11912512	Carmel Rosa Baserba
Q1712625	Julius Friedrich
Q5213250	Dan Chater
Q448592	Saharon Shelah
Q1029247	Giacomo Beretta
Q192671	Arturo Vidal
Q2095862	Steven Isserlis
Q21055388	Stefano Sensi
Q64096	Markus Meckel
Q325105	Giorgio Pasquali
Q313667	François Joseph Gossec
Q1682887	Janne Ojanen
Q3300459	Maurice Bompard
Q4758185	Andrew P. O'Meara
Q14947815	2013–14 Cypriot Second Division
Q3161995	Janine Garrisson
Q2347152	Mahesh Bhatt
Q36091	Minneapolis
Q322922	Jacques Ellul
Q4935000	Bobby Flavell
Q334505	George Phipps, 2nd Marquess of Normanby
Q824314	Philippe Camus
Q5796275	César Luena López
Q13054	Steed Malbranque
Q155581	Wenceslaus II of Bohemia
Q10498799	Brian Siddall
Q216266	Alain Robbe-Grillet
Q1620408	Battle of Chesma
Q3421946	Peter Ulrik Magnus Hount
Q323488	Roy Jenkins
Q4287132	War Medal 1918-1921
Q4761190	Andy Preece
Q3165759	Jean-François Mancel
Q7323745	Richard Annan
Q221145	Maria II of Portugal
Q295498	Henry Cavill
Q1698153	Johannes Pflug
Q495959	Victor Davis
Q1736766	Katrin Werner
Q7151127	Paul Harding
Q265353	Beatrice Mintz
Q3027192	Didier Santini
Q1305608	Leslie Bricusse
Q346535	Carsten Byhring
Q257588	Gino Colaussi
Q1763808	Alberto Blanc
Q239067	Rudolph A. Marcus
Q96594	Albert Hänel
Q235077	Jerry Goldsmith
Q1892814	Thomas Mulcair
Q59098147	Design for an altar of the St. Lucas Guild in the Cathedral of Our Lady in Antwerp, 1689
Q1657736	Igor Kostolevsky
Q533377	Friedel Rausch
Q452159	Lillian Faderman
Q735920	Soyuz 35
Q2473178	Udo Haschke
Q474485	Marshal of France
Q459159	Anna of Hesse
Q1124657	Bar-Ilan University
Q336913	Neelam Sanjiva Reddy
Q229190	Catherine of Siena
Q736464	Hanna-Barbera
Q5542828	George Nemhauser
Q3972676	Stefano Rebonato
Q78793	Tilla Durieux
Q5536098	George Aimer
Q64026349	Tropical storm Dennis
Q4816857	Reg Prentice, Baron Prentice
Q107597	Bernhard Hassenstein
Q198370	Zibo
Q1745064	Klaus Feldmann
Q1071782	Chic Hecht
Q16017578	Bert Slater
Q267001	Margaret Colin
Q289727	Leonid Mandelstam
Q168261	Ptolemy I Soter
Q7381129	Russ Edmonds
Q19871819	Lisa Cameron
Q2563711	Wes Cooley
Q24043	Alan Nunnelee
Q236058	Orly
Q1584084	Heinz Seiffert
Q21518	Eschwiller
Q120413	Christopher Deninger
Q703939	François Omam-Biyik
Q51958751	Honorary citizenship of Brno
Q318508	Andrés Manuel López Obrador
Q13648955	Gyliano van Velzen
Q5228286	Dave Bamber
Q272041	Stephen Twigg
Q19257068	Joan Miquel i Avellí
Q59097369	Design for an altar with the Ascension of the Virgin Mary
Q1871938	Antonio Colombo
Q124053	Fritz Heine
Q1159868	Daniel Aaron
Q462544	Wigner Medal
Q547660	Robert John "Mutt" Lange
Q683309	Holger Fach
Q386060	Route nationale 20
Q12749294	Branislav Jerinić
Q20950078	François Mathieu Angot des Rotours
Q542406	Piero Fassino
Q16246990	K. Vijaya Bhaskar
Q1351778	Horst Eylmann
Q456386	Louise Redknapp
Q882558	Wilber M. Brucker
Q353086	Temur Ketsbaia
Q1264021	Vasko Popa
Q6764524	Mario Amilivia González
Q460753	Hanja Maij-Weggen
Q3704388	Debora Serracchiani
Q813168	Beate Müller-Gemmeke
Q534440	Angelika Lohwasser
Q21001250	Josep Lluís Grau Vallès
Q1231511	1987–88 Divizia A
Q1762	Elagabalus
Q582610	Theodore Sturgeon Award
Q11617	Aaliyah
Q13529864	Sir Robert Cary, 1st Baronet
Q516180	Louise Bogan
Q924591	Tom Høgli
Q219390	Giacinto Facchetti
Q798658	Bad Boy Records
Q220423	Chocolat
Q1379609	Luigi Federzoni
Q178339	Kofi Yamgnane
Q7819228	Tommy Black
Q374176	Adrian Serioux
Q2620177	College of the Holy Cross
Q5856885	John Faso
Q51133	King Vidor
Q1282917	University of Belgrade Faculty of Philosophy
Q4948961	Hédi Fried
Q3665646	basketball player
Q4740237	Amari Morgan-Smith
Q353893	Lawrence Wright
Q4758120	Andrew Nicholas
Q4756575	Andrew Caton
Q322428	Antonio Colinas
Q43744	Gerd Müller
Q458453	Virginia Foxx
Q1534196	Goethe award of Berlin
Q1779614	Norodom Suramarit
Q5698318	Antonio Fernández de Buján
Q64503886	Hurricane Javier
Q11154675	Ian Taylor
Q838546	Soyuz TMA-19
Q1407751	Bruno Berra
Q2917669	Tomàs Garcés
Q100741	Erik Wolf
Q361012	Clyde Best
Q1578501	Martin Warnke Medal
Q767931	Willi Fricke
Q59098137	Foliage frieze
Q5549674	Gerald Westheimer
Q19689203	The BFG
Q6526064	Leonardo Polo
Q96290	Helmut Scholz
Q295386	G. E. Moore
Q748127	George Perkins Marsh
Q12131587	Jurij Mirosznyczenko
Q5492073	Franklin Twist
Q881165	Thomas Pinckney
Q11944425	Rafael Luna Vives
Q366584	George Strait
Q3643013	1998 Boston Cup
Q15998683	Walter Hamilton
Q1432632	University of Reading
Q232873	René Cassin
Q1133570	Cornelis Jacobus Gorter
